src,dst,relationship
1267,65,follow
766,1769,follow
1368,871,friend
1048,701,follow
303,547,friend
1581,1164,friend
461,1887,friend
1571,476,follow
1144,1163,friend
110,152,friend
1610,404,follow
738,475,friend
1082,285,follow
1453,1918,friend
1042,886,follow
1145,1765,friend
1580,1693,follow
52,147,follow
1232,229,friend
898,1107,follow
1786,1569,follow
1724,691,friend
1390,1569,friend
695,24,follow
390,142,follow
1971,568,follow
761,1775,follow
1103,1512,friend
972,1995,friend
1908,219,friend
1003,1308,follow
1636,1975,follow
1839,1580,friend
1777,702,friend
1725,512,friend
1574,1097,follow
915,1461,friend
355,306,friend
847,768,friend
1709,9,follow
96,1543,friend
698,645,friend
1252,1985,friend
1971,918,friend
1909,40,follow
510,594,follow
218,974,follow
961,1055,follow
1460,1934,follow
940,178,follow
1033,369,friend
1742,866,follow
126,1385,friend
23,506,friend
1468,297,friend
1834,1586,friend
1746,1739,follow
373,1262,follow
311,384,friend
1204,1190,friend
1183,313,follow
522,604,friend
173,450,friend
517,260,follow
331,1790,friend
952,188,friend
217,722,friend
613,722,follow
1151,1529,follow
1495,1339,friend
1387,116,follow
958,1134,follow
177,1323,friend
1295,527,friend
323,394,friend
987,374,follow
825,1544,follow
326,665,friend
1107,476,follow
23,856,friend
1255,1128,follow
1635,595,friend
1674,523,friend
661,389,follow
1111,1349,follow
913,610,friend
512,266,friend
629,1605,follow
1014,1416,follow
35,866,friend
50,1898,follow
1308,1139,friend
814,604,friend
485,1826,follow
907,795,follow
1409,1945,follow
344,1621,friend
881,1826,follow
660,137,follow
1214,1477,friend
1651,1478,follow
1492,667,follow
1846,1165,friend
1937,1283,follow
1927,595,follow
1369,1765,follow
1405,1422,friend
1307,887,friend
309,1785,friend
436,1560,friend
30,872,friend
1955,1108,follow
626,903,follow
1858,1175,follow
1954,1637,friend
1214,1827,friend
154,1847,friend
426,91,friend
584,1431,friend
1298,20,follow
954,210,friend
1396,555,follow
1790,482,follow
1800,1170,follow
735,846,follow
370,159,follow
1323,1770,follow
576,35,follow
734,1375,follow
1166,1032,follow
1950,1114,friend
1976,83,follow
546,1324,follow
1017,909,friend
1452,837,follow
382,169,friend
444,1047,follow
53,1391,friend
442,974,friend
144,1509,friend
1605,1833,friend
1725,1935,friend
421,97,friend
285,236,follow
448,1920,friend
324,164,follow
1659,1315,friend
883,1848,follow
196,918,follow
576,385,follow
227,231,follow
1125,1381,follow
729,1381,follow
1068,847,follow
724,1037,follow
1341,1945,follow
1654,190,follow
1406,842,friend
64,1930,follow
1562,601,follow
812,103,friend
213,1272,friend
1085,1201,friend
715,170,follow
1233,1853,follow
214,1874,friend
147,652,friend
439,272,friend
926,390,friend
1870,1885,friend
1433,1884,follow
55,1063,friend
1079,1386,follow
896,1679,friend
1383,1797,friend
209,749,friend
1818,1725,follow
1766,1535,friend
1138,1212,follow
295,523,follow
1946,190,follow
208,1278,friend
1476,1207,follow
1820,1017,follow
830,278,friend
890,1083,follow
1327,1084,follow
348,534,follow
14,1412,friend
788,806,friend
1569,617,follow
1660,735,friend
1436,1027,friend
6,16,follow
1943,269,friend
102,478,follow
107,822,friend
974,407,follow
881,216,friend
375,1576,friend
313,698,friend
745,355,friend
1753,145,friend
445,817,friend
1682,1433,friend
1718,1090,follow
221,1109,friend
1031,160,follow
250,349,follow
1179,812,follow
450,737,friend
215,1294,friend
590,417,friend
1493,1911,follow
1431,1033,follow
1806,156,follow
1,22,follow
1897,274,friend
400,293,follow
954,1633,friend
1616,32,friend
360,894,follow
375,1926,friend
1237,1167,friend
1641,1782,friend
1734,1973,follow
1636,1438,follow
1448,1387,follow
1386,509,friend
1047,1043,follow
1981,1850,follow
1924,1316,friend
1857,94,follow
919,1797,friend
1633,386,friend
549,766,friend
1447,1916,follow
1827,1383,follow
325,1058,friend
822,1864,follow
853,1177,follow
801,987,friend
1856,623,follow
1202,1331,follow
760,986,follow
863,1865,friend
264,782,friend
166,247,follow
1733,1721,follow
668,1397,friend
262,709,friend
1007,863,friend
1504,1669,friend
136,1536,follow
566,1120,friend
1574,910,friend
1913,376,friend
321,535,follow
1534,1511,friend
1811,99,follow
1680,582,friend
1623,48,follow
219,258,follow
1633,736,follow
685,1751,friend
1724,854,follow
1208,1526,follow
1495,802,friend
1089,114,follow
812,1526,friend
1643,1454,friend
1684,1455,follow
679,1936,friend
622,1402,friend
1002,869,friend
1059,1403,friend
1033,182,friend
1926,988,friend
627,1746,follow
28,663,friend
1064,1747,friend
1458,1674,friend
1429,182,follow
905,936,friend
394,1952,friend
1491,279,follow
710,468,follow
1300,1465,follow
1389,2,friend
1208,1876,follow
1146,998,friend
76,330,friend
482,1018,friend
860,412,follow
521,946,follow
1851,1753,friend
182,1480,friend
51,1963,friend
1546,1871,follow
1833,1147,friend
768,823,friend
1599,751,follow
1270,1973,follow
1979,218,friend
174,84,follow
1726,526,friend
767,1352,follow
705,474,follow
199,1834,friend
1749,695,friend
629,1418,friend
973,1228,follow
999,197,friend
1410,1229,friend
40,1023,friend
1318,1640,friend
485,1639,follow
819,761,friend
912,952,follow
855,418,friend
626,366,follow
784,1706,friend
1061,294,follow
753,141,follow
1123,1172,friend
1620,1978,follow
1589,413,friend
378,1018,friend
1216,1363,friend
1312,1825,friend
1031,1583,friend
250,1772,friend
563,17,friend
1867,1855,follow
1461,1167,friend
1091,136,follow
1440,290,friend
36,500,follow
939,1994,friend
1932,752,follow
1343,357,friend
278,33,friend
1277,1989,friend
1554,577,friend
809,423,follow
1934,44,follow
1707,1573,follow
647,1593,friend
1272,1645,friend
179,27,friend
1555,1179,friend
1949,1106,friend
923,710,friend
1303,177,follow
1396,368,friend
1852,1173,friend
1451,829,follow
1399,639,friend
453,1727,friend
797,1537,friend
439,1973,follow
1607,588,follow
857,90,friend
430,777,follow
356,1794,friend
309,1948,follow
242,726,follow
247,1070,friend
1708,1394,follow
1073,654,friend
672,310,friend
1646,516,friend
1231,1994,friend
677,654,follow
109,1136,follow
1510,655,friend
1320,531,friend
1473,1527,friend
1170,1718,friend
1949,1456,follow
545,1666,follow
787,1199,friend
730,665,friend
689,664,friend
1126,665,follow
310,1799,follow
695,1610,friend
60,870,friend
1570,1810,friend
1434,1949,friend
596,1604,follow
648,1794,follow
992,1604,friend
1864,1533,friend
1463,1189,friend
838,1137,friend
776,259,friend
655,1430,friend
1309,722,follow
402,1738,friend
1556,599,friend
835,85,friend
439,85,friend
95,275,follow
501,963,friend
931,547,friend
936,891,friend
1485,1887,friend
1024,738,follow
60,1220,follow
1230,614,friend
63,1491,follow
886,804,friend
1727,1420,follow
1768,1421,friend
1274,886,friend
362,1558,follow
300,680,friend
367,1902,friend
1630,1487,friend
1516,419,friend
148,286,friend
604,1091,friend
707,1970,follow
1455,143,friend
20,1040,friend
856,1312,follow
548,1159,follow
455,968,follow
54,624,friend
1824,1703,friend
1757,481,follow
19,1569,follow
1251,1841,follow
506,1687,follow
1569,430,friend
1629,1235,friend
1727,1770,follow
1290,1769,follow
701,1374,follow
995,1097,follow
943,907,follow
1034,1025,friend
1409,148,friend
354,512,friend
70,1507,follow
784,96,friend
841,630,friend
1338,1436,follow
1221,97,follow
101,820,friend
789,440,follow
937,1092,follow
1286,1246,friend
1083,163,friend
1145,1041,follow
1676,1431,friend
277,1985,friend
1330,40,friend
1624,1241,follow
939,384,follow
1827,846,friend
1426,502,friend
22,712,follow
220,1451,friend
1928,1652,friend
590,230,follow
128,1862,follow
66,984,follow
837,107,follow
563,1790,follow
365,1051,friend
360,707,follow
308,517,follow
1237,980,friend
1144,789,friend
805,1323,friend
612,928,friend
672,1733,friend
1479,513,friend
1427,323,friend
1981,1663,friend
422,804,follow
21,460,friend
16,116,friend
554,923,follow
1729,661,follow
1421,508,follow
452,646,friend
1689,1262,friend
1288,918,friend
262,942,follow
1069,1554,friend
1095,523,follow
329,1744,friend
74,471,follow
561,589,friend
1407,1549,follow
373,538,friend
321,348,friend
1837,1133,follow
1930,1324,friend
1868,446,friend
73,1000,friend
1883,1478,friend
1310,1616,friend
1351,1617,follow
570,1806,friend
1490,271,follow
1187,462,friend
122,138,follow
1434,339,friend
1546,1334,follow
1931,1145,follow
527,1355,friend
95,1698,follow
1895,1488,follow
1437,610,follow
535,1970,follow
623,1817,friend
1361,1554,friend
1839,1556,follow
681,1041,friend
270,9,friend
1746,1365,follow
1736,677,follow
1543,282,friend
1701,1622,friend
235,954,friend
670,882,friend
685,1914,follow
1167,1688,follow
1208,1689,follow
1881,277,follow
1886,621,friend
1070,1755,friend
982,1908,follow
1784,344,follow
328,364,friend
1458,1837,follow
820,826,friend
1697,1099,friend
1361,1904,follow
671,703,friend
1168,1509,follow
824,1699,follow
41,307,follow
46,651,friend
1603,1437,friend
543,1457,follow
142,1113,follow
517,236,follow
173,426,follow
999,10,friend
952,164,follow
451,1868,friend
816,303,follow
1876,283,follow
1375,1987,follow
1652,575,friend
1387,92,follow
1717,1724,friend
1316,1380,friend
1995,914,follow
1589,226,friend
190,780,follow
291,1586,follow
41,657,friend
1932,565,follow
1025,1581,friend
1400,704,friend
1799,975,follow
811,309,friend
871,1114,follow
150,600,friend
1153,46,follow
1805,1921,friend
277,375,follow
1139,1868,follow
1858,801,friend
1959,1607,friend
206,1663,friend
149,1129,follow
555,1817,follow
1887,41,friend
980,1057,follow
584,1057,friend
1417,1058,follow
1477,1863,follow
923,523,friend
1893,987,follow
391,662,follow
448,1196,friend
1026,1402,friend
1325,1469,follow
1263,591,friend
1258,247,friend
1698,519,follow
786,1191,follow
1176,1346,friend
1508,395,friend
1205,586,friend
1955,1084,friend
1033,1068,friend
632,724,friend
580,534,friend
1074,1069,follow
1072,996,follow
1509,997,friend
110,1551,friend
1170,1531,follow
1949,1269,follow
1285,1289,friend
540,1135,friend
944,1750,friend
980,1407,friend
1371,1063,follow
1868,1869,friend
1811,1335,follow
1376,1407,follow
345,667,friend
350,1011,friend
1279,1474,follow
690,1079,follow
1029,545,follow
1032,816,friend
1961,1279,friend
1940,402,friend
161,1489,friend
42,77,friend
94,267,friend
752,1176,friend
1177,416,follow
1213,73,friend
781,416,follow
1371,1413,follow
1653,345,friend
311,1433,follow
244,211,follow
710,1704,friend
1142,1361,friend
1424,293,friend
1618,1290,friend
121,1309,follow
269,1961,follow
988,894,follow
1389,1238,friend
1863,1094,friend
1894,407,follow
1336,1577,friend
1818,1351,friend
763,1715,follow
18,1561,friend
357,1027,friend
305,837,follow
23,1905,follow
1609,423,friend
1041,905,friend
547,370,friend
146,26,follow
213,1248,friend
705,1710,friend
1815,299,follow
1080,833,follow
757,1900,follow
569,1849,friend
507,971,follow
106,627,follow
486,94,friend
1780,1244,friend
1723,710,friend
1327,710,friend
1721,637,follow
348,160,follow
353,504,friend
506,1500,follow
886,967,friend
657,915,follow
636,38,friend
537,32,friend
1492,1716,follow
371,828,follow
1927,1644,friend
1906,767,follow
1780,1594,friend
1625,525,follow
1682,1059,friend
335,1803,friend
911,1936,friend
560,201,follow
1093,664,friend
312,853,follow
1778,1521,follow
1148,1125,follow
1929,936,friend
657,1265,friend
1827,659,follow
1498,1881,friend
1046,848,follow
1584,1655,follow
452,109,friend
806,607,follow
123,1331,follow
1401,1948,friend
995,1260,friend
1277,192,follow
1394,1531,friend
427,1742,friend
1048,140,follow
652,140,follow
1258,1670,follow
1425,844,friend
800,792,friend
1483,68,follow
1698,1942,friend
1631,720,follow
771,1552,friend
745,331,follow
560,551,follow
1510,1891,follow
1981,1476,friend
1346,736,friend
1781,664,follow
1889,1887,friend
473,1336,friend
416,802,friend
1658,1762,friend
290,1629,friend
1007,489,friend
1941,1296,friend
764,1485,friend
38,627,follow
1571,265,follow
191,1623,follow
509,212,follow
1844,1363,friend
3,1572,friend
1412,1706,follow
469,813,friend
1152,89,follow
823,1311,follow
1821,413,friend
899,397,follow
873,1428,follow
1802,1891,friend
914,1429,friend
376,622,follow
1157,433,follow
1213,1496,follow
817,1496,friend
1187,275,follow
593,1788,follow
958,223,friend
130,566,friend
622,1028,friend
1556,1835,follow
1926,614,friend
95,1511,friend
38,977,friend
33,633,friend
587,1973,follow
1296,218,friend
561,752,friend
535,1783,follow
623,1630,friend
1249,372,friend
280,510,friend
397,1849,follow
433,1506,follow
803,285,follow
1639,557,follow
1644,901,friend
331,1229,follow
1055,506,follow
1511,1311,follow
1609,1846,friend
1110,967,follow
984,1794,follow
172,418,follow
1784,157,friend
15,1932,follow
1696,310,follow
763,105,friend
773,793,follow
1671,1943,friend
921,1445,friend
916,1101,friend
1635,34,follow
1265,1255,friend
1361,1717,follow
1726,152,friend
301,1737,follow
978,1979,friend
1538,101,friend
600,1804,friend
204,1804,friend
670,1045,follow
1501,973,friend
1449,783,friend
785,803,friend
76,306,friend
1375,1800,friend
979,1800,follow
907,234,friend
871,577,follow
573,1112,friend
1972,558,friend
10,1938,follow
1784,507,friend
1805,1384,follow
1216,989,friend
820,989,friend
378,644,friend
1271,1450,follow
1224,1604,follow
1255,917,friend
744,1933,follow
1867,1481,follow
783,1861,friend
432,126,friend
497,1275,friend
1937,722,friend
999,173,follow
242,2,friend
1840,789,follow
56,1532,follow
1277,1615,follow
1272,1271,friend
145,69,friend
150,413,follow
1717,1887,follow
277,188,friend
738,1337,follow
110,1014,friend
1892,198,follow
1584,45,friend
92,408,follow
797,1163,friend
52,1009,friend
294,542,follow
1283,1810,friend
510,1106,follow
264,1831,friend
699,1759,friend
444,486,follow
7,485,follow
110,1364,follow
1965,1615,follow
43,142,follow
827,224,follow
951,1980,friend
545,1292,friend
1319,686,friend
1371,876,friend
1811,1148,follow
852,1974,friend
1709,871,follow
1657,681,friend
998,1045,friend
695,1236,follow
1662,1025,friend
1865,630,friend
880,235,follow
1768,697,follow
940,1040,follow
1525,1693,friend
1463,815,friend
69,1713,friend
752,989,friend
905,1985,follow
1218,230,friend
1278,1035,friend
213,711,friend
736,486,friend
1233,1292,friend
1613,759,follow
116,778,friend
1900,35,follow
152,435,follow
1055,1929,follow
1618,1103,follow
1556,225,friend
460,588,follow
1212,415,friend
1962,913,friend
1027,635,friend
29,1533,follow
1521,1170,follow
521,1995,friend
1230,240,friend
459,1117,friend
1393,1924,friend
987,1236,friend
266,722,friend
1763,703,friend
1195,1185,friend
706,994,friend
362,1184,follow
1692,1991,friend
1172,235,follow
234,1938,follow
604,717,friend
203,373,follow
41,1543,friend
982,111,friend
512,1128,follow
1854,40,follow
1780,1057,friend
1446,1935,follow
999,1246,friend
1444,1862,friend
1809,297,friend
1814,641,follow
322,1004,follow
1972,1981,friend
819,1810,follow
1621,246,follow
1533,399,friend
449,779,follow
1342,1585,follow
788,245,friend
1665,518,friend
753,1190,friend
529,1482,follow
1907,51,friend
1630,1463,follow
620,1600,follow
1344,877,follow
1101,1873,follow
1815,462,follow
313,137,friend
1810,118,friend
471,1477,friend
913,1822,friend
1713,185,friend
1281,528,follow
1778,1334,friend
713,1010,friend
312,666,follow
1179,251,follow
1189,939,follow
559,543,friend
939,10,friend
1488,1006,friend
1493,1350,follow
32,1026,friend
488,1831,follow
868,1298,friend
524,1488,friend
858,610,friend
61,266,follow
964,1760,follow
1236,4,friend
1730,539,follow
1399,1688,friend
1425,657,friend
1263,1827,follow
335,1966,friend
211,210,friend
1505,1360,follow
1510,1704,friend
1479,139,friend
1477,66,friend
1008,1202,follow
1320,1580,friend
575,1426,friend
1294,359,friend
1796,1509,follow
43,1565,friend
1882,1283,friend
1223,1647,follow
421,959,follow
1231,10,friend
567,30,follow
725,1370,friend
381,1560,follow
1217,1832,follow
561,215,follow
514,369,friend
1120,1899,follow
1839,832,friend
1099,1022,friend
1837,759,follow
1534,950,follow
469,626,follow
443,1657,follow
99,1847,follow
818,780,follow
847,20,follow
1208,965,follow
1161,1119,friend
1588,432,follow
1653,1581,friend
593,1601,follow
526,379,friend
182,569,friend
1309,1771,follow
679,1375,friend
1460,1186,follow
588,1257,follow
1622,16,follow
1900,1458,follow
491,1324,follow
90,980,friend
470,447,friend
95,1324,friend
314,688,friend
864,374,follow
520,564,follow
962,909,friend
1793,837,friend
1741,647,follow
3,1735,friend
1899,1987,friend
1894,1643,follow
438,1663,friend
803,98,friend
423,631,follow
1983,180,follow
579,390,follow
899,560,follow
1081,1540,follow
1019,662,follow
1014,318,follow
107,1334,friend
1146,437,friend
50,800,follow
1982,709,follow
203,1796,friend
526,729,follow
516,41,follow
1455,1192,friend
1013,847,friend
1352,313,follow
1911,1997,follow
491,484,follow
830,1140,friend
424,452,friend
481,986,follow
80,642,follow
1358,1259,friend
864,724,friend
1640,191,friend
54,1673,friend
733,1207,friend
1015,139,friend
600,1617,follow
199,1273,friend
1634,376,friend
569,52,follow
1066,858,friend
1410,668,follow
1420,1356,friend
1511,1474,friend
441,806,friend
35,118,follow
45,806,follow
1308,391,friend
1373,1540,friend
318,1904,friend
1691,129,friend
815,458,follow
1558,539,friend
1528,1828,friend
1559,1141,friend
1564,1485,follow
1953,1068,follow
554,1622,follow
970,746,friend
1765,1017,friend
1020,863,follow
1770,1361,follow
801,1499,follow
739,621,follow
400,1155,friend
30,124,friend
457,1689,friend
1804,945,friend
1647,207,friend
1554,16,follow
871,740,friend
155,570,follow
795,1684,friend
1514,617,friend
1555,618,follow
1462,427,follow
1959,1233,friend
92,221,follow
980,683,follow
1016,340,friend
1518,1490,follow
114,1700,follow
47,478,follow
898,1782,follow
1268,561,follow
492,1094,follow
1662,488,friend
989,1900,friend
643,509,friend
1765,1367,follow
1288,1967,friend
1627,1433,friend
166,1109,follow
202,766,follow
298,1228,follow
1129,1156,friend
1134,1500,follow
444,299,friend
12,642,follow
1228,381,follow
980,1033,follow
918,155,follow
259,519,follow
730,104,friend
1289,1788,friend
1618,566,friend
162,586,friend
1217,222,friend
157,242,friend
315,1582,friend
263,1392,follow
248,360,friend
1495,1664,follow
1526,977,friend
1961,905,follow
223,1993,follow
1565,905,follow
658,1921,friend
1833,1659,friend
736,299,friend
340,299,follow
689,453,friend
684,109,friend
522,1279,friend
219,1470,follow
1515,37,friend
1124,381,friend
1141,1516,follow
19,658,follow
798,396,friend
328,1413,friend
261,191,follow
1880,1855,friend
859,1803,follow
1578,736,follow
174,946,friend
1041,531,friend
645,531,follow
640,187,follow
762,1870,friend
1825,613,friend
1543,1681,follow
1577,1265,follow
414,406,friend
137,1818,friend
502,253,follow
1446,1748,friend
890,335,follow
1496,1865,friend
978,182,follow
1480,1332,friend
1220,1967,follow
1691,1552,follow
1629,674,follow
225,884,follow
564,350,follow
1784,1743,follow
378,1880,follow
190,1829,follow
1568,398,friend
66,73,follow
625,1757,follow
1937,1958,friend
1968,1271,follow
1901,49,follow
877,1978,follow
247,1582,follow
273,551,friend
216,17,friend
338,1700,friend
364,669,friend
379,1701,follow
1215,1973,follow
814,1629,friend
1580,408,friend
1676,870,follow
277,1424,follow
564,700,friend
554,12,friend
965,1044,follow
1827,285,friend
1431,285,follow
22,151,follow
144,1834,follow
529,1645,follow
964,1573,friend
954,885,friend
272,299,follow
1607,1450,follow
1237,419,follow
1581,229,friend
294,1778,follow
1672,347,follow
576,710,friend
672,1172,friend
364,1019,follow
1443,295,friend
1047,295,follow
1888,911,friend
1482,223,follow
78,433,friend
1356,1050,friend
1791,978,friend
1385,290,follow
330,654,follow
1729,100,friend
1887,1440,follow
1254,773,follow
760,238,follow
1257,1044,friend
1283,13,follow
1126,1527,follow
381,1373,follow
1993,1112,follow
1155,767,follow
1196,768,friend
126,100,follow
79,254,follow
597,1937,follow
633,1594,friend
915,526,friend
1935,1107,follow
1503,1450,follow
813,249,follow
1873,229,friend
42,1126,follow
1649,521,friend
94,1316,follow
1372,1933,friend
1320,1743,friend
1843,1518,friend
1315,1399,follow
1740,639,friend
1588,245,friend
1304,1240,friend
1992,860,follow
619,383,friend
187,726,follow
531,536,friend
1465,1343,friend
1059,655,friend
1517,1533,follow
1124,1804,follow
54,1136,follow
773,69,follow
59,1480,friend
1556,1461,follow
1363,1066,follow
491,1137,friend
905,188,friend
33,259,friend
548,1671,follow
1834,651,friend
55,1738,follow
394,1204,follow
798,1819,friend
829,1132,follow
1209,599,friend
1608,870,follow
1207,526,follow
930,1938,friend
639,1008,follow
1177,1815,follow
1547,594,friend
50,613,friend
1208,1128,friend
1705,1934,follow
1638,712,follow
645,1954,friend
172,44,follow
1039,1881,follow
1080,1882,follow
1409,660,friend
1393,127,friend
1906,1466,follow
1952,1811,friend
1911,1810,friend
1692,194,follow
1757,1343,follow
697,1363,friend
286,331,follow
676,486,follow
1564,948,follow
1133,1893,follow
968,136,follow
665,327,follow
639,1358,follow
1907,1287,follow
785,429,friend
45,619,follow
1339,1769,follow
974,1082,friend
819,13,follow
1471,1888,friend
313,1373,follow
1404,666,follow
1784,133,friend
10,1564,friend
841,1492,follow
1809,1883,friend
119,1507,follow
401,439,friend
1330,902,follow
189,748,follow
1806,831,follow
963,142,friend
1020,676,friend
1522,1826,friend
1835,71,friend
61,1502,follow
1730,1775,friend
928,1087,follow
840,1240,friend
246,501,follow
800,1841,friend
1519,774,follow
894,722,follow
1417,497,follow
1761,307,follow
1821,1112,friend
1518,1303,follow
1800,235,friend
1513,959,friend
515,1857,friend
549,1441,friend
924,564,friend
1328,1179,follow
22,1924,friend
294,168,follow
1130,440,follow
457,1852,friend
510,732,friend
161,578,friend
1950,179,friend
1048,1539,follow
298,1041,follow
1038,851,follow
1098,1656,follow
1879,1467,friend
1571,1314,follow
418,1143,friend
1812,245,follow
293,697,friend
1939,20,follow
1438,1724,friend
1386,1534,follow
321,1210,follow
1001,1723,follow
1217,35,friend
878,569,friend
664,1549,friend
602,671,friend
1588,1668,friend
1151,1667,friend
698,1133,friend
526,1615,follow
120,927,friend
567,1616,friend
99,50,follow
1049,1390,follow
1095,1735,friend
276,686,friend
1463,441,friend
367,804,friend
470,1683,follow
1239,733,friend
494,579,follow
1486,610,friend
710,1143,follow
235,1816,follow
1248,1950,follow
1921,538,follow
1572,384,follow
1045,867,friend
613,1210,friend
269,1400,friend
86,1693,follow
449,55,friend
490,56,follow
768,1498,friend
352,122,follow
804,1155,friend
758,810,follow
1979,893,friend
200,1980,follow
802,1082,friend
174,759,follow
424,1688,friend
671,1565,follow
234,1564,friend
1005,687,friend
1158,1683,follow
1538,1150,follow
1481,616,follow
41,1169,friend
1669,667,follow
1067,1565,follow
574,1632,friend
70,409,follow
111,410,friend
1911,200,follow
911,1025,friend
384,1508,follow
759,631,friend
358,287,follow
506,939,friend
855,1093,friend
1696,1709,follow
1681,677,friend
1342,1211,friend
287,1575,follow
1498,970,follow
1938,1242,friend
1537,898,follow
467,230,friend
1594,1432,follow
995,349,follow
1000,693,follow
1841,1309,follow
375,641,friend
1739,1032,friend
1744,1376,follow
1400,1566,friend
811,1171,follow
30,1360,friend
1205,1098,friend
88,584,follow
241,1580,friend
179,702,follow
1457,1319,follow
1493,976,follow
1087,288,follow
488,1457,follow
92,1457,follow
139,1303,friend
1417,1920,friend
584,1919,friend
1293,164,friend
964,1386,follow
334,990,follow
370,647,friend
329,646,friend
1607,1263,friend
427,1181,friend
1149,385,follow
1631,159,follow
237,1057,friend
1078,1673,follow
770,1520,follow
1508,1257,friend
546,1812,follow
637,1930,friend
1017,1397,follow
325,123,follow
426,929,friend
761,1560,friend
1350,1048,friend
923,1735,friend
233,534,follow
1754,1663,follow
1790,1320,friend
725,996,friend
1540,391,follow
1535,47,follow
967,529,friend
571,529,follow
1027,1334,follow
65,1889,follow
60,1545,follow
1032,1678,follow
13,1699,friend
1412,1145,follow
94,1129,follow
1873,42,follow
479,940,friend
565,714,follow
1253,334,follow
2,1540,follow
442,1812,friend
807,247,follow
776,934,friend
1705,1397,follow
1648,863,friend
650,1761,follow
624,540,friend
1684,520,friend
1992,673,follow
622,467,friend
1515,1273,friend
486,606,friend
429,72,friend
1029,1757,friend
520,190,friend
243,1602,follow
582,1068,friend
957,191,follow
886,1479,friend
490,1479,friend
428,601,follow
1711,1562,follow
302,1428,follow
1797,1336,friend
1420,632,friend
1110,406,friend
482,83,friend
45,82,friend
1414,817,follow
1450,474,follow
51,1028,follow
15,1371,follow
1952,1624,follow
445,955,friend
1890,746,friend
80,268,follow
1075,1351,friend
890,1571,follow
1358,885,friend
257,904,friend
111,1833,follow
1757,1156,friend
353,1366,friend
1194,1982,friend
1660,1223,friend
691,1361,follow
639,1171,friend
1501,412,friend
107,1310,friend
66,1309,follow
912,17,friend
1712,632,follow
313,1186,friend
339,155,follow
251,308,follow
414,1992,friend
560,1063,follow
1558,165,friend
190,32,follow
364,1905,follow
1214,355,friend
1031,648,friend
1528,1454,friend
1179,1300,follow
1122,766,follow
590,905,friend
189,561,follow
366,1197,follow
309,663,follow
313,1536,friend
683,315,friend
652,1002,friend
1579,1392,follow
175,1602,friend
545,381,friend
211,1259,friend
1605,361,friend
1417,310,friend
980,309,friend
1539,1993,follow
1580,1994,follow
945,1254,follow
554,1598,follow
1289,1064,friend
893,1064,follow
1328,992,friend
1662,114,friend
1202,1819,friend
1536,941,friend
228,1613,friend
1668,1060,friend
314,1387,follow
1377,130,follow
1759,1178,follow
1139,1470,follow
408,268,follow
1483,1280,follow
1913,864,friend
1003,1609,follow
499,386,friend
134,1951,friend
1345,1346,friend
165,1264,follow
1756,126,follow
447,196,friend
1284,1070,follow
1156,1824,follow
1187,1137,friend
807,1670,follow
1494,1819,friend
747,84,friend
1306,1768,follow
468,1423,follow
494,392,follow
864,1423,follow
1834,1887,friend
1335,1008,friend
1679,818,follow
311,685,follow
1886,1296,friend
1449,1295,follow
425,972,friend
19,284,follow
891,213,follow
1450,1897,friend
1737,1173,follow
1727,485,friend
1049,1553,friend
987,675,friend
326,966,friend
758,623,friend
1255,1429,follow
1604,1583,follow
231,1106,friend
260,346,friend
614,844,follow
1041,157,friend
77,639,friend
1004,1029,friend
608,1029,friend
1384,496,friend
441,1855,friend
819,1249,friend
1246,562,follow
1404,1902,follow
1290,834,follow
230,854,friend
1123,1660,friend
660,438,follow
92,920,follow
1396,506,follow
568,849,follow
995,162,friend
1831,434,follow
432,988,follow
375,454,follow
1211,726,friend
461,228,friend
810,382,follow
1020,1912,friend
1739,845,follow
968,1722,follow
1496,1841,friend
1840,1651,follow
30,1173,friend
708,105,follow
1057,259,follow
866,1445,follow
1778,773,friend
298,1927,follow
241,1393,follow
960,326,friend
1118,1666,friend
1056,788,follow
920,927,follow
462,49,follow
1417,1733,follow
448,1871,follow
432,1338,follow
1232,1953,friend
1607,1076,follow
1206,732,friend
638,1214,follow
237,870,friend
724,988,follow
770,1333,follow
1606,1605,friend
489,1091,friend
570,521,friend
518,331,friend
1299,142,follow
1843,794,friend
1786,260,friend
1017,1210,friend
1944,1600,follow
1887,1066,friend
1254,399,follow
812,54,follow
1324,1892,friend
1252,326,friend
725,809,follow
668,275,friend
1967,1769,friend
1597,738,friend
1103,203,follow
136,414,follow
1991,665,friend
1996,1009,follow
196,1219,follow
915,152,follow
1464,1148,friend
1839,271,follow
1032,1491,follow
39,481,friend
1560,1610,friend
505,1974,friend
1909,1764,follow
818,219,friend
1787,81,follow
1711,1025,follow
1690,148,friend
1175,1541,follow
721,286,friend
833,1281,follow
874,1282,friend
1161,558,friend
650,1574,follow
645,1230,friend
182,8,follow
1653,1020,friend
1403,91,follow
116,1640,friend
147,953,follow
439,573,friend
121,1984,friend
1306,158,friend
1865,1842,follow
1366,963,friend
1454,810,follow
1361,619,friend
1951,1616,follow
1240,1790,follow
423,70,follow
1076,635,friend
1019,101,friend
742,1513,friend
1162,409,friend
174,1995,friend
1609,1098,follow
1669,1903,follow
1943,220,follow
1362,440,friend
674,820,friend
1911,1436,follow
512,1990,friend
486,769,follow
1327,1385,friend
1656,163,friend
200,183,follow
1322,1041,friend
754,1523,friend
635,111,follow
1564,574,friend
